range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,r_iw_a_ifo001,q_ai_ifo001,r_iw_a_ifo002,q_ai_ifo002,r_iw_a_ifo003,q_ai_ifo003,gt_range,bias,pair,del_t1,del_t2,del_t3,del_t4,range_raw,bias_raw,tx1_raw,tx2_raw,tx3_raw,rx1_raw,rx2_raw,rx3_raw,std,timestamp
3.881468077744016,30,10,45525153935.26176,46227208798.08327,46227513005.70273,45525458168.720985,46229051723.65144,45526996886.35423,-88.27449798583984,-88.84629821777344,0.0511999987065792,-0.2029999941587448,[-1.22955213 -1.43626666  1.49276327],[-7.16905699e-04 -2.41610242e-03  9.89368171e-01  1.45407997e-01],[-1.69432787  1.66047902  1.48660534],[-0.00445105 -0.02079484 -0.5086129   0.86073263],[1.72868665 1.00462494 1.45526283],[-0.0083038   0.00453442  0.18405318  0.98287064],3.889619810500663,-0.0081517327566467,"(30, 10)",304233.8992385864,304207.3098220825,1538717.5418167114,1538717.94871521,3.996500015258789,0.1068802047581263,45525153935.10865,46227513005.62145,46229051723.57017,46227208798.31163,45525458169.00789,45526996886.549706,0.1852463777058821,46.5941436290741
3.310920250902864,20,31,45965352532.94539,46414677613.38057,46414982388.652405,45965657329.67355,46416521106.60113,45967196044.39929,-87.78839874267578,-88.5634994506836,1.8504999876022337,-2.0739998817443848,[-1.35353614 -1.53468113  1.49115004],[ 0.00120731 -0.00404247  0.98095044  0.19421174],[-1.72031353  1.63196462  1.48055464],[-0.00116012 -0.01521621 -0.52053729  0.85370251],[1.70879129 1.18753538 1.46696237],[-0.00575525  0.00788758  0.21872479  0.9757375 ],3.3013727440389435,0.0095475068639201,"(20, 31)",304797.0189819336,304775.07762146,1538714.646560669,1538717.9487228394,3.385900020599365,0.0845272765604212,45965352532.86505,46414982388.63428,46416521106.583,46414677613.556656,45965657329.88403,45967196044.530594,0.1861470276771298,46.81114745140076
4.6776024550449975,30,11,46026222605.13355,46593355911.2934,46593660786.14821,46026527511.3897,46595199504.09693,46028066230.27908,-96.56800079345705,-91.33390045166016,-0.5289000272750854,0.4889000058174133,[-1.52088057 -1.66453546  1.49069773],[0.00510102 0.0060584  0.96814364 0.25026297],[-1.75321366  1.62454378  1.47362379],[-0.00625818 -0.00733274 -0.51335035  0.8581248 ],[1.70312759 1.43066046 1.47091892],[-0.01102239  0.00920725  0.24313668  0.96988539],4.6786169183213016,-0.001014463276304,"(30, 11)",304906.56925964355,304874.8622817993,1538718.7938156128,1538717.94871521,4.726200103759766,0.047583185438464,46026222604.980446,46593660786.070175,46595199504.01889,46593355911.20789,46026527511.549706,46028066230.34352,0.1847033872990493,47.0952250957489
3.3356125989730523,10,21,46830821523.33093,46754368891.17655,46754680041.16776,46831132695.68617,46756218759.116486,46832671414.15188,-88.11319732666016,-87.30889892578125,-0.785099983215332,0.5532000064849854,[-1.57997108 -1.70876463  1.48905011],[0.01296688 0.01497491 0.96318435 0.26810441],[-1.76302842  1.62900725  1.47095475],[-0.01039656 -0.00439457 -0.50653807  0.86214363],[1.7017054  1.51042983 1.47057214],[-1.89163012e-04  5.58104525e-03  2.48631969e-01  9.68581633e-01],3.34157197909125,-0.0059593801181976,"(10, 21)",311172.72010040283,311149.1980895996,1538718.73122406,1538717.9487228394,3.500999927520752,0.159427948429502,46830821523.24966,46754680040.87787,46756218758.82659,46754368891.67978,46831132695.96976,46832671414.70098,0.1875003414803371,47.197007179260254
3.4008239469023387,20,11,46446338654.740265,46789931548.85776,46790238262.10975,46446645390.56584,46791776980.058464,46448184107.90714,-92.69280242919922,-93.72589874267578,-0.2142000049352646,-0.461899995803833,[-1.63218671 -1.74648956  1.4874774 ],[0.02229197 0.02694623 0.95802617 0.28453924],[-1.77092933  1.63609643  1.46804909],[-8.73060305e-03 -4.23526863e-04 -5.00377527e-01  8.65762150e-01],[1.70081401 1.58379712 1.47039632],[0.01333336 0.00246597 0.24963134 0.96824521],3.401652582619929,-0.0008286357175908,"(20, 11)",306735.88679504395,306713.1629333496,1538717.3383636477,1538717.94871521,3.4233999252319336,0.021747342612004,46446338654.65993,46790238262.03172,46791776979.98043,46789931548.86878,46446645390.54672,46448184107.885086,0.1846819037340044,47.2910099029541
4.719005389210913,30,10,46233133726.92843,46935188657.43939,46935493462.433495,46233438563.3823,46937032180.38221,46234977281.17205,-82.58380126953125,-82.0916976928711,0.1471000015735626,-0.2746999859809875,[-1.63753408 -1.75028252  1.48726244],[0.02056543 0.02439204 0.95728861 0.28736836],[-1.77184013  1.63705525  1.467865  ],[-8.54765600e-03  2.51728031e-04 -4.99458549e-01  8.66295375e-01],[1.70135662 1.5915075  1.47028042],[0.01518635 0.0028756  0.24932494 0.96829619],4.711069248220707,0.0079361409902061,"(30, 10)",304836.8639755249,304804.6718521118,1538717.6983184814,1538717.94871521,4.831399917602539,0.1203306693818317,46233133726.77532,46935493462.35222,46937032180.30093,46935188657.68037,46233438563.6393,46234977281.337616,0.1709610096860372,47.30092430114746
4.814016376939244,10,30,47017816298.97196,46651843444.849495,46652172565.06944,47018145451.29096,46653711283.01816,47019684169.11694,-83.81529998779297,-83.3395004272461,-0.5149999856948853,-0.0390999987721443,[-1.68217943 -1.78127589  1.48625597],[0.02690145 0.03133244 0.95105269 0.30625324],[-1.7785381   1.64658155  1.46577715],[-0.00861187  0.00230353 -0.49237273  0.87033809],[1.70210563 1.6575297  1.46983855],[ 0.02770177 -0.00181558  0.25185633  0.96736623],4.805280047852031,0.0087363290872133,"(10, 30)",329152.7224807739,329119.6226501465,1538717.9174194336,1538717.94871521,4.960999965667725,0.155719917815694,47017816298.890686,46652172564.916336,46653711282.86505,46651843445.293686,47018145451.61317,47019684169.53059,0.1971709585634138,47.38780570030213
3.680928735510364,10,21,48295780553.779655,48219327119.031296,48219637324.82162,48296090784.20969,48221176042.77033,48297629502.53454,-90.7707977294922,-89.01460266113281,-0.4135000109672546,0.3734000027179718,[-1.8323043  -1.84070207  1.49661933],[0.01549174 0.00708256 0.80199047 0.59709047],[-1.76487526  1.79113558  1.47365432],[ 0.00609872  0.01285671 -0.27380635  0.96167831],[1.80334363 1.83919736 1.4798815 ],[ 0.00819973 -0.02166144  0.21397365  0.97656446],3.6830857452828414,-0.0021570097724774,"(10, 21)",310230.6972351074,310205.1407318115,1538718.5903701782,1538717.94871521,3.8101999759674072,0.1271142306845658,48295780553.69838,48219637324.53172,48221176042.48044,48219327119.39099,48296090784.395615,48297629502.98599,0.1836386711001356,48.66572046279907
3.6967842647056366,30,20,47948084760.58227,48306056586.53967,48306363254.09924,47948391453.04208,48307901972.04795,47949930172.14762,-90.77780151367188,-92.1447982788086,-0.9144999980926514,0.4068999886512756,[-1.80107371 -1.8089981   1.49400495],[0.01236305 0.00367496 0.7341575  0.67885439],[-1.75160803  1.78952504  1.47781271],[ 0.00454622  0.00742879 -0.19975304  0.97980635],[1.79615198 1.75799947 1.48790586],[-0.00973099 -0.01549787  0.23724582  0.97127648],3.6894162998263487,0.0073679648792879,"(30, 20)",306692.73963165283,306667.3865661621,1538719.0129241943,1538717.94871521,3.767400026321411,0.0779837264950624,47948084760.42916,48306363254.0189,48307901971.96761,48306056586.63233,47948391453.16879,47949930172.18172,0.1835567572414931,49.0179123878479
3.446329444273207,30,20,49294046323.08227,49652017138.31052,49652323486.47103,49294352694.42781,49653862204.41975,49295891413.314255,-90.72250366210938,-91.9719009399414,-0.7505999803543091,0.7422000169754028,[-1.73392065 -1.7825276   1.35767053],[0.04347412 0.04608922 0.57567955 0.81521656],[-1.6681811   1.7087784   1.31299846],[-0.01147817  0.06333813 -0.11110618  0.9917215 ],[1.65264294 1.67237319 1.37788927],[ 0.03806743 -0.06682309  0.30870653  0.94804205],3.446987801356218,-0.0006583570830107,"(30, 20)",306371.6321105957,306347.9849014282,1538718.7938232422,1538717.94871521,3.5183000564575195,0.0713122551013016,49294046322.92916,49652323486.39069,49653862204.33941,49652017138.40579,49294352694.56127,49295891413.355095,0.1835178600647709,50.36208653450012
